"typ";"rozmiar";"pomiar"
0;28500;270.000000
0;28500;270.000000
0;28500;270.000000
0;28500;270.000000
0;28500;270.000000
0;28500;270.000000
0;28500;270.000000
0;28500;270.000000
0;28500;270.000000
0;28500;270.000000
0;29000;280.000000
0;29000;280.000000
0;29000;280.000000
0;29000;280.000000
0;29000;280.000000
0;29000;280.000000
0;29000;270.000000
0;29000;270.000000
0;29000;270.000000
0;29000;270.000000
0;29500;280.000000
0;29500;280.000000
0;29500;280.000000
0;29500;280.000000
0;29500;280.000000
0;29500;280.000000
0;29500;280.000000
0;29500;280.000000
0;29500;280.000000
0;29500;270.000000
0;30000;290.000000
0;30000;290.000000
0;30000;280.000000
0;30000;280.000000
0;30000;280.000000
0;30000;280.000000
0;30000;280.000000
0;30000;290.000000
0;30000;290.000000
0;30000;290.000000
0;30500;290.000000
0;30500;290.000000
0;30500;290.000000
0;30500;280.000000
0;30500;290.000000
0;30500;290.000000
0;30500;280.000000
0;30500;290.000000
0;30500;290.000000
0;30500;280.000000
0;31000;300.000000
0;31000;300.000000
0;31000;300.000000
0;31000;290.000000
0;31000;290.000000
0;31000;290.000000
0;31000;300.000000
0;31000;300.000000
0;31000;290.000000
0;31000;290.000000
0;31500;300.000000
0;31500;300.000000
0;31500;300.000000
0;31500;300.000000
